InvoiceDate,Daily_Revenue,Daily_Transactions,Daily_Customers,Daily_Quantity
2011-03-15,15186.13,49,45,7996
2011-03-16,22584.28,55,49,13265
2011-03-17,33129.63,82,74,19465
2011-03-18,23687.920000000002,58,51,13547
2011-03-20,20204.3,60,57,13643
2011-03-21,16396.3,64,58,9566
2011-03-22,19267.52,46,42,13583
2011-03-23,21671.28,64,58,13989
2011-03-24,36832.18,77,69,18313
2011-03-25,27468.93,60,51,13403
2011-03-27,9485.77,45,43,4651
2011-03-28,20559.38,63,53,11929
2011-03-29,37370.97,58,51,24242
2011-03-30,29991.7,81,75,20247
2011-03-31,29020.43,80,71,15571
2011-04-01,25859.600000000002,79,68,19010
2011-04-03,6983.55,21,18,5686
2011-04-04,37204.89,70,57,13708
2011-04-05,30550.31,60,54,15944
2011-04-06,12805.33,43,42,8051
2011-04-07,17111.66,71,65,10219
2011-04-08,24717.21,75,72,12333
2011-04-10,10464.08,37,32,5738
2011-04-11,20128.0,67,59,12968
2011-04-12,24470.01,76,63,14764
2011-04-13,24973.29,74,64,19294
2011-04-14,36518.840000000004,103,90,18911
2011-04-15,18028.471,42,40,11103
2011-04-17,12746.7,44,39,8185
2011-04-18,67554.13,86,67,35486
2011-04-19,19354.09,69,64,13022
2011-04-20,26150.03,78,67,18016
2011-04-21,27872.81,77,69,17106
2011-04-26,22046.3,70,62,14772
2011-04-27,23945.08,73,64,17751
2011-04-28,22582.94,68,60,13516
2011-05-01,6982.66,21,18,3824
2011-05-03,44521.96,77,62,11311
2011-05-04,27613.85,71,62,17419
2011-05-05,25656.31,100,93,16383
2011-05-06,31009.03,86,69,18410
2011-05-08,18925.88,67,58,10712
2011-05-09,21837.73,70,63,11697
2011-05-10,31273.88,88,73,17780
2011-05-11,32334.59,85,66,18591
2011-05-12,61912.48,103,84,38624
2011-05-13,25891.71,68,52,13298
2011-05-15,9680.05,30,29,4771
2011-05-16,35746.38,67,54,15144
2011-05-17,47381.57,103,81,25352
2011-05-18,33029.02,78,66,18657
2011-05-19,32770.93,109,96,17670
2011-05-20,26222.51,82,71,15281
2011-05-22,24256.81,62,57,12762
2011-05-23,35253.54,96,74,17743
2011-05-24,33093.61,89,76,14755
2011-05-25,22038.13,70,60,12469
2011-05-26,33049.52,70,58,16301
2011-05-27,21373.16,72,63,14922
2011-05-29,7580.3,25,20,4164
2011-05-31,18940.75,59,53,10824
2011-06-01,15795.38,60,55,9690
2011-06-02,28428.69,66,54,13859
2011-06-03,15204.51,46,40,7308
2011-06-05,25758.73,70,62,13532
2011-06-06,17288.66,72,66,9437
2011-06-07,34221.68,86,83,17803
2011-06-08,30515.55,88,75,19059
2011-06-09,43783.73,95,88,27254
2011-06-10,97938.9,57,51,10167
2011-06-12,12505.41,39,38,9497
2011-06-13,21803.39,80,72,12579
2011-06-14,33490.02,57,45,13088
2011-06-15,46562.85,64,48,30053
2011-06-16,32760.72,94,82,19682
2011-06-17,19334.68,53,39,11435
2011-06-19,22524.35,64,57,15102
2011-06-20,26839.41,78,63,15681
2011-06-21,20790.18,71,63,13231
2011-06-22,21201.47,61,57,15300
2011-06-23,23526.32,84,74,14469
2011-06-24,16056.17,51,45,9078
2011-06-26,7989.81,36,30,4077
2011-06-27,13604.1,48,42,9223
2011-06-28,30714.41,58,48,21054
2011-06-29,12883.52,54,44,7611
2011-06-30,42705.8,74,59,21129
2011-07-01,12692.53,53,41,7893
2011-07-03,6087.64,27,24,3128
2011-07-04,31483.25,47,40,12100
2011-07-05,26415.72,75,67,18069
2011-07-06,23068.44,72,65,17864
2011-07-07,28981.65,87,79,18451
2011-07-08,17800.32,58,52,10235
2011-07-10,6295.67,29,20,4296
2011-07-11,20255.52,60,49,14203
2011-07-12,18318.7,56,52,11696
2011-07-13,19581.65,61,53,15376
2011-07-14,32789.13,81,69,17415
2011-07-15,12214.800000000001,46,41,6631
2011-07-17,16978.5,52,45,10833
2011-07-18,32396.98,66,56,13346
2011-07-19,47465.13,79,71,28630
2011-07-20,33079.8,65,51,16178
2011-07-21,31096.64,90,74,19918
2011-07-22,14743.4,47,42,8368
2011-07-24,27420.18,62,55,17977
2011-07-25,19886.81,59,53,14329
2011-07-26,17661.951,63,57,12834
2011-07-27,22889.8,47,40,13250
2011-07-28,54261.55,100,89,29615
2011-07-29,17936.8,66,60,11353
2011-07-31,33397.54,42,37,20868
2011-08-01,19828.31,42,38,11339
2011-08-02,20613.37,56,53,14321
2011-08-03,27655.89,77,70,16919
2011-08-04,66553.17,86,80,42415
2011-08-05,20065.68,57,51,12272
2011-08-07,7691.75,32,28,5291
2011-08-08,23139.22,52,49,12718
2011-08-09,27013.36,57,51,16025
2011-08-10,21179.68,55,51,12404
2011-08-11,55186.37,78,71,36818
2011-08-12,18027.920000000002,48,42,11074
2011-08-14,6286.96,37,31,3225
2011-08-15,17282.4,52,48,10205
2011-08-16,16213.79,55,48,10499
2011-08-17,51057.92,57,47,26993
2011-08-18,54964.07,91,83,34300
2011-08-19,17440.64,60,59,10734
2011-08-21,14594.49,41,37,8168
2011-08-22,30765.2,64,58,15525
2011-08-23,22563.25,68,62,13774
2011-08-24,39387.31,94,79,27701
2011-08-25,22903.21,86,80,13471
2011-08-26,24874.73,48,43,17383
2011-08-28,10825.28,39,36,6778
2011-08-30,9059.12,30,28,4337
2011-08-31,29803.01,80,72,16390
2011-09-01,37443.7,80,72,27886
2011-09-02,30874.0,78,67,15550
2011-09-04,17106.13,52,46,10927
2011-09-05,36011.8,73,60,22586
2011-09-06,25793.11,67,55,14602
2011-09-07,22255.3,52,45,13912
2011-09-08,23676.1,79,64,16311
2011-09-09,25783.39,81,68,16174
2011-09-11,35557.87,78,68,21170
2011-09-12,28688.420000000002,89,80,16875
2011-09-13,48351.33,69,64,35037
2011-09-14,22260.27,80,68,13513
2011-09-15,74318.7,108,92,27807
2011-09-16,23709.14,54,50,14184
2011-09-18,15799.13,28,25,9022
2011-09-19,47010.94,88,79,29387
2011-09-20,103486.36,71,56,42658
2011-09-21,44119.67,92,84,21250
2011-09-22,60144.32,132,111,33682
2011-09-23,32956.37,77,71,20357
2011-09-25,31534.402000000002,78,74,19681
2011-09-26,30022.740999999998,73,66,15389
2011-09-27,29846.4,98,84,20025
2011-09-28,39423.91,105,93,24227
2011-09-29,47666.49,112,97,28291
2011-09-30,40397.65,84,70,21799
2011-10-02,11593.9,35,32,8380
2011-10-03,64437.99,73,53,24817
2011-10-04,39249.06,88,74,24486
2011-10-05,74457.63,99,82,46095
2011-10-06,67980.61,180,154,38246
2011-10-07,49497.78,95,80,29835
2011-10-09,13068.97,40,35,7815
2011-10-10,45319.47,113,95,25478
2011-10-11,60668.72,92,78,34469
2011-10-12,30587.8,94,78,18409
2011-10-13,33419.44,89,79,18037
2011-10-14,32932.92,75,63,17304
2011-10-16,22416.48,39,32,9229
2011-10-17,51850.17,100,87,31254
2011-10-18,37996.72,89,79,27414
2011-10-19,43903.45,97,87,18455
2011-10-20,61393.82,103,89,41014
2011-10-21,60682.64,66,59,24289
2011-10-23,12375.91,45,40,7078
2011-10-24,46460.69,103,84,28166
2011-10-25,36743.1,78,69,26030
2011-10-26,34654.62,99,83,20356
2011-10-27,65648.71,129,113,33130
2011-10-28,38292.65,77,67,23047
2011-10-30,34597.18,97,88,20074
2011-10-31,33814.66,68,64,15243
2011-11-01,29546.41,92,88,16678
2011-11-02,39383.98,99,87,27120
2011-11-03,66105.88,111,95,33890
2011-11-04,59019.8,125,105,34696
2011-11-06,42975.28,103,88,23319
2011-11-07,30519.420000000002,104,90,17146
2011-11-08,39314.53,132,122,22068
2011-11-09,65017.32,124,102,38994
2011-11-10,72653.11,161,139,38287
2011-11-11,37503.03,103,91,24252
2011-11-13,29157.48,89,75,20248
2011-11-14,60730.39,134,109,32359
2011-11-15,47942.06,114,98,26905
2011-11-16,49989.23,137,119,30298
2011-11-17,56665.31,154,131,30719
2011-11-18,37773.82,142,129,20612
2011-11-20,30347.48,103,91,18812
2011-11-21,46549.6,111,96,25202
2011-11-22,50239.35,149,129,32003
2011-11-23,73603.41,148,114,38664
2011-11-24,41477.46,119,104,24436
2011-11-25,37713.67,78,71,26927
2011-11-27,17340.54,58,51,10549
2011-11-28,53554.84,125,102,28883
2011-11-29,49228.41,137,116,26161
2011-11-30,42441.61,134,122,24633
2011-12-01,45304.99,164,149,25085
2011-12-02,45291.7,124,100,25957
2011-12-04,20431.61,66,58,11451
2011-12-05,59769.89,130,114,38551
2011-12-06,48628.88,141,128,28934
2011-12-07,69717.15,117,101,41210
2011-12-08,51596.63,133,120,28190
2011-12-09,353138.35,46,38,171612
