StockCode,Description,TotalAmount_sum,TotalAmount_mean,TotalAmount_count,Quantity_sum,Quantity_mean,UnitPrice_mean,UnitPrice_std,CustomerID_nunique,InvoiceNo_nunique,Revenue_per_Customer,Avg_Quantity_per_Transaction,Revenue_Category,Popularity_Category
16045,POPART WOODEN PENCILS ASST,380.0,5.51,69,8900,128.99,0.04,0.02,61,68,6.23,130.88,Medium,Popular
16046,TEATIME PEN CASE & PENS,56.95,3.56,16,67,4.19,0.85,0.0,13,13,4.38,5.15,Low,Occasional
16048,TEATIME ROUND PENCIL SHARPENER ,186.84,3.81,49,1437,29.33,0.13,0.06,41,47,4.56,30.57,Medium,Popular
16049,TEATIME GEL PENS ASST,82.08,16.42,5,504,100.8,0.24,0.16,5,5,16.42,100.8,Low,Niche
16052,TEATIME PUSH DOWN RUBBER,105.29,17.55,6,467,77.83,0.3,0.13,5,6,21.06,77.83,Low,Niche
16054,POPART RECT PENCIL SHARPENER ASST,153.48,4.51,34,1274,37.47,0.13,0.05,29,34,5.29,37.47,Medium,Occasional
16151A,FLOWERS HANDBAG blue and orange,61.25,20.42,3,49,16.33,1.25,0.0,3,3,20.42,16.33,Low,Niche
16156L,WRAP CAROUSEL,157.5,11.25,14,375,26.79,0.42,0.0,13,14,12.12,26.79,Medium,Occasional
16156L,"WRAP, CAROUSEL",42.0,10.5,4,100,25.0,0.42,0.0,4,4,10.5,25.0,Low,Niche
16156S,WRAP PINK FAIRY CAKES ,2331.0,13.96,167,5800,34.73,0.42,0.02,135,167,17.27,34.73,Premium,Best-Seller
16161G,WRAP BAD HAIR DAY,70.0,3.18,22,700,31.82,0.1,0.0,22,22,3.18,31.82,Low,Occasional
16161M,WRAP  PINK FLOCK,10.5,10.5,1,25,25.0,0.42,,1,1,10.5,25.0,Low,Niche
16161P,WRAP ENGLISH ROSE ,2990.92,12.01,249,7226,29.02,0.42,0.01,188,248,15.91,29.14,Premium,Best-Seller
16161U,WRAP SUKI AND FRIENDS,1687.5,12.59,134,4075,30.41,0.42,0.01,104,134,16.23,30.41,High,Best-Seller
16162L,THE KING GIFT BAG,11.05,1.84,6,17,2.83,0.65,0.0,5,6,2.21,2.83,Low,Niche
16162M,THE KING GIFT BAG 25x24x12cm,10.92,1.56,7,26,3.71,0.42,0.0,6,7,1.82,3.71,Low,Niche
16168M,FUNKY MONKEY GIFT BAG MEDIUM,138.18,6.91,20,329,16.45,0.42,0.0,19,20,7.27,16.45,Medium,Occasional
16169E,WRAP 50'S  CHRISTMAS,1944.96,12.8,152,4688,30.84,0.42,0.01,143,151,13.6,31.05,High,Best-Seller
16169K,WRAP FOLK ART,84.0,10.5,8,200,25.0,0.42,0.0,8,8,10.5,25.0,Low,Niche
16169M,WRAP DAISY CARPET ,277.2,10.66,26,660,25.38,0.42,0.0,24,25,11.55,26.4,Medium,Occasional
16169N,WRAP BLUE RUSSIAN FOLKART,10.5,10.5,1,25,25.0,0.42,,1,1,10.5,25.0,Low,Niche
16169P,WRAP GREEN RUSSIAN FOLKART ,21.0,10.5,2,50,25.0,0.42,0.0,2,2,10.5,25.0,Low,Niche
16202A,PASTEL PINK PHOTO ALBUM ,3.5,1.75,2,7,3.5,0.5,0.0,2,2,1.75,3.5,Low,Niche
16202B,PASTEL BLUE PHOTO ALBUM ,14.5,7.25,2,29,14.5,0.5,0.0,2,2,7.25,14.5,Low,Niche
16202E,BLACK PHOTO ALBUM ,13.05,3.26,4,16,4.0,1.76,2.52,4,4,3.26,4.0,Low,Niche
16206B,RED PURSE WITH PINK HEART,8.75,4.38,2,7,3.5,1.25,0.0,2,2,4.38,3.5,Low,Niche
16207A,PINK STRAWBERRY HANDBAG ,38.35,7.67,5,13,2.6,2.95,0.0,4,5,9.59,2.6,Low,Niche
16207B,PINK HEART RED HANDBAG,11.31,3.77,3,4,1.33,2.79,0.28,3,3,3.77,1.33,Low,Niche
16216,LETTER SHAPE PENCIL SHARPENER,227.14,5.54,41,3316,80.88,0.09,0.07,38,41,5.98,80.88,Medium,Occasional
16218,CARTOON  PENCIL SHARPENERS,253.2,5.06,50,3760,75.2,0.07,0.03,43,50,5.89,75.2,Medium,Popular
16219,HOUSE SHAPE PENCIL SHARPENER,312.78,6.52,48,2963,61.73,0.09,0.06,41,48,7.63,61.73,Medium,Popular
16225,RATTLE SNAKE EGGS,599.34,7.78,77,762,9.9,1.19,0.6,57,75,10.51,10.16,High,Popular
16235,RECYCLED PENCIL WITH RABBIT ERASER,525.96,6.41,82,2666,32.51,0.21,0.03,68,81,7.73,32.91,Medium,Popular
16236,KITTY PENCIL ERASERS,266.56,3.65,73,1296,17.75,0.21,0.01,59,73,4.52,17.75,Medium,Popular
16237,SLEEPING CAT ERASERS,898.68,5.29,170,4658,27.4,0.21,0.01,109,163,8.24,28.58,High,Best-Seller
16238,PARTY TIME PENCIL ERASERS,265.51,3.32,80,1261,15.76,0.24,0.07,61,78,4.35,16.17,Medium,Popular
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,7.85,3.92,2,7,3.5,1.23,1.03,2,2,3.92,3.5,Low,Niche
16248B,BLUE HOLE PUNCH,16.25,2.32,7,13,1.86,1.25,0.0,7,7,2.32,1.86,Low,Niche
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,27.91,3.1,9,31,3.44,1.02,0.34,7,9,3.99,3.44,Low,Niche
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,156.95,4.02,39,446,11.44,0.46,0.19,29,39,5.41,11.44,Medium,Occasional
16259,PIECE OF CAMO STATIONERY SET,335.2,10.48,32,3488,109.0,0.1,0.04,28,32,11.97,109.0,Medium,Occasional
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,20.88,20.88,1,72,72.0,0.29,,1,1,20.88,72.0,Low,Niche
17003,BROCADE RING PURSE ,6152.85,29.02,212,22966,108.33,1.13,6.78,136,209,45.24,109.89,Premium,Best-Seller
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,50.4,25.2,2,24,12.0,2.1,0.0,2,2,25.2,12.0,Low,Niche
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,62.15,10.36,6,80,13.33,1.13,0.75,6,6,10.36,13.33,Low,Niche
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET ,244.9,9.8,25,270,10.8,1.11,0.65,21,24,11.66,11.25,Medium,Occasional
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,422.55,11.74,36,455,12.64,1.08,0.6,33,36,12.8,12.64,Medium,Occasional
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET ,344.35,7.83,44,363,8.25,1.15,0.67,37,43,9.31,8.44,Medium,Occasional
17012D,ORIGAMI ROSE INCENSE/CANDLE SET ,366.35,7.96,46,387,8.41,1.11,0.62,35,44,10.47,8.8,Medium,Popular
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET ,52.05,13.01,4,59,14.75,1.52,1.18,3,3,17.35,19.67,Low,Niche
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,329.05,7.83,42,365,8.69,1.0,0.51,33,42,9.97,8.69,Medium,Occasional
17013D,ORIGAMI ROSE INCENSE IN TUBE,257.88,23.44,11,532,48.36,0.87,0.62,10,11,25.79,48.36,Medium,Occasional
17014A,ORIGAMI VANILLA INCENSE CONES,67.83,9.69,7,154,22.0,0.61,0.46,7,7,9.69,22.0,Low,Niche
17021,NAMASTE SWAGAT INCENSE,643.14,11.28,57,2427,42.58,0.29,0.02,30,47,21.44,51.64,High,Popular
17028J,INCENSE BAZAAR PEACH,2.52,2.52,1,6,6.0,0.42,,1,1,2.52,6.0,Low,Niche
17038,PORCELAIN BUDAH INCENSE HOLDER,138.1,7.27,19,1501,79.0,0.1,0.01,18,19,7.67,79.0,Medium,Occasional
17084A,TRANQUILITY MASALA INCENSE,42.0,6.0,7,200,28.57,0.21,0.0,7,7,6.0,28.57,Low,Niche
17084J,LOVE POTION MASALA INCENSE,47.25,5.91,8,225,28.12,0.21,0.0,8,8,5.91,28.12,Low,Niche
17084N,FAIRY DREAMS INCENSE ,212.75,6.65,32,1025,32.03,0.21,0.01,25,32,8.51,32.03,Medium,Occasional
17084P,DRAGONS BLOOD INCENSE,73.29,5.64,13,349,26.85,0.21,0.0,12,13,6.11,26.85,Low,Occasional
17084R,ASSORTED INCENSE PACK,760.32,28.16,27,4032,149.33,0.2,0.02,16,27,47.52,149.33,High,Occasional
17090A,LAVENDER INCENSE 40 CONES IN TIN,107.45,10.74,10,109,10.9,1.17,0.17,9,10,11.94,10.9,Low,Niche
17090D,VANILLA INCENSE 40 CONES IN TIN,36.25,2.79,13,29,2.23,1.25,0.0,6,12,6.04,2.42,Low,Occasional
17091A,LAVENDER INCENSE IN TIN,99.29,3.82,26,172,6.62,0.78,0.44,19,25,5.23,6.88,Low,Occasional
17091J,VANILLA INCENSE IN TIN,876.34,9.63,91,2066,22.7,0.55,0.34,66,87,13.28,23.75,High,Popular
17096,ASSORTED LAQUERED INCENSE HOLDERS,443.76,34.14,13,2516,193.54,0.2,0.02,12,13,36.98,193.54,Medium,Occasional
17107D,FLOWER FAIRY 5 DRAWER LINERS,153.0,7.29,21,60,2.86,2.55,0.0,18,20,8.5,3.0,Medium,Occasional
17107D,FLOWER FAIRY 5 SUMMER DRAW LINERS,15.3,15.3,1,6,6.0,2.55,,1,1,15.3,6.0,Low,Niche
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",267.75,10.71,25,105,4.2,2.55,0.0,24,25,11.16,4.2,Medium,Occasional
17109D,FLOWER FAIRY INCENSE BOUQUET,32.35,6.47,5,61,12.2,0.9,0.72,4,5,8.09,12.2,Low,Niche
17129F,BLUE GLASS GEMS IN BAG,292.95,14.65,20,429,21.45,0.84,0.29,11,20,26.63,21.45,Medium,Occasional
17136A,BLUE STONES ON WIRE FOR CANDLE,33.75,1.69,20,404,20.2,0.1,0.05,16,17,2.11,23.76,Low,Occasional
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,12.18,1.22,10,29,2.9,0.42,0.0,9,9,1.35,3.22,Low,Niche
17165D,ASS COL LARGE SAND FROG P'WEIGHT,28.35,4.05,7,27,3.86,1.05,0.0,6,7,4.73,3.86,Low,Niche
17174,ASSTD RASTA KEY-CHAINS,3.78,1.26,3,9,3.0,0.42,0.0,3,3,1.26,3.0,Low,Niche
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,15.0,7.5,2,4,2.0,3.75,0.0,1,2,15.0,2.0,Low,Niche
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,383.76,21.32,18,5856,325.33,0.17,0.04,15,17,25.58,344.47,Medium,Occasional
18094C,WHITE AND BLUE CERAMIC OIL BURNER,153.1,10.21,15,134,8.93,1.2,0.14,13,15,11.78,8.93,Medium,Occasional
18097A,PINK TALL PORCELAIN T-LIGHT HOLDER ,12.75,3.19,4,5,1.25,2.55,0.0,4,4,3.19,1.25,Low,Niche
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,2043.15,35.23,58,965,16.64,2.5,0.17,43,54,47.52,17.87,Premium,Popular
18098C,PORCELAIN BUTTERFLY OIL BURNER,540.55,14.23,38,193,5.08,2.92,0.11,24,36,22.52,5.36,Medium,Occasional
20615,BLUE POLKADOT PASSPORT COVER,233.34,6.67,35,231,6.6,1.48,0.93,28,35,8.33,6.6,Medium,Occasional
20616,CHERRY BLOSSOM PASSPORT COVER,122.78,4.91,25,134,5.36,1.32,0.87,19,25,6.46,5.36,Medium,Occasional
20617,FIRST CLASS PASSPORT COVER ,137.74,5.3,26,66,2.54,2.22,0.57,20,26,6.89,2.54,Medium,Occasional
20618,QUEEN OF THE SKIES PASSPORT COVER ,137.88,4.92,28,68,2.43,2.07,0.11,20,28,6.89,2.43,Medium,Occasional
20619,TROPICAL PASSPORT COVER ,206.23,9.37,22,142,6.45,2.31,0.96,16,22,12.89,6.45,Medium,Occasional
20622,VIP PASSPORT COVER ,73.5,6.68,11,35,3.18,2.1,0.0,8,11,9.19,3.18,Low,Occasional
20622,VIPPASSPORT COVER ,166.68,7.58,22,128,5.82,1.94,0.4,18,21,9.26,6.1,Medium,Occasional
20652,BLUE POLKADOT LUGGAGE TAG ,194.76,5.41,36,150,4.17,1.42,0.42,26,33,7.49,4.55,Medium,Occasional
20653,CHERRY BLOSSOM LUGGAGE TAG,43.67,7.28,6,33,5.5,1.65,0.62,5,6,8.73,5.5,Low,Niche
20654,FIRST CLASS LUGGAGE TAG ,126.69,5.28,24,105,4.38,1.23,0.05,21,23,6.03,4.57,Medium,Occasional
20655,QUEEN OF SKIES LUGGAGE TAG,109.11,3.21,34,89,2.62,1.31,0.3,20,34,5.46,2.62,Low,Occasional
20657,TROPICAL LUGGAGE TAG,76.39,3.47,22,61,2.77,1.35,0.36,20,22,3.82,2.77,Low,Occasional
20658,RED RETROSPOT LUGGAGE TAG,410.0,6.61,62,328,5.29,1.25,0.0,44,59,9.32,5.56,Medium,Popular
20659,ECONOMY LUGGAGE TAG,140.81,4.4,32,95,2.97,1.54,0.54,18,29,7.82,3.28,Medium,Occasional
20661,BLUE POLKADOT PURSE ,35.07,7.01,5,9,1.8,4.65,1.56,3,5,11.69,1.8,Low,Niche
20662,FIRST CLASS HOLIDAY PURSE ,40.97,8.19,5,11,2.2,4.09,1.56,4,5,10.24,2.2,Low,Niche
20663,QUEEN OF THE SKIES HOLIDAY PURSE ,11.69,3.9,3,3,1.0,3.9,1.64,3,3,3.9,1.0,Low,Niche
20664,TROPICAL HOLIDAY PURSE ,17.7,5.9,3,6,2.0,2.95,0.0,3,3,5.9,2.0,Low,Niche
20665,RED RETROSPOT PURSE ,998.2,13.67,73,340,4.66,2.94,0.05,58,73,17.21,4.66,High,Popular
20666,ECONOMY HOLIDAY PURSE,11.8,2.95,4,4,1.0,2.95,0.0,4,4,2.95,1.0,Low,Niche
20667,CHERRY BLOSSOM PURSE,2.95,2.95,1,1,1.0,2.95,,1,1,2.95,1.0,Low,Niche
20668,DISCO BALL CHRISTMAS DECORATION,1408.56,7.49,188,12714,67.63,0.12,0.01,111,181,12.69,70.24,High,Best-Seller
20669,RED HEART LUGGAGE TAG,243.75,5.19,47,195,4.15,1.25,0.0,36,42,6.77,4.64,Medium,Popular
20670,VIP HOLIDAY PURSE,29.28,4.88,6,8,1.33,3.9,1.47,5,6,5.86,1.33,Low,Niche
20671,BLUE TEATIME PRINT BOWL ,12.5,6.25,2,10,5.0,1.25,0.0,2,2,6.25,5.0,Low,Niche
20674,GREEN POLKADOT BOWL,1656.56,10.83,153,1379,9.01,1.25,0.1,101,150,16.4,9.19,High,Best-Seller
20675,BLUE POLKADOT BOWL,3194.9,14.01,228,2741,12.02,1.24,0.09,150,225,21.3,12.18,Premium,Best-Seller
20676,RED RETROSPOT BOWL,5074.48,16.53,307,4385,14.28,1.24,0.13,186,301,27.28,14.57,Premium,Best-Seller
20677,PINK POLKADOT BOWL,3648.83,16.22,225,3164,14.06,1.26,0.19,133,221,27.43,14.32,Premium,Best-Seller
20678,LARGE BLACK DIAMANTE HAIRSLIDE,6.6,6.6,1,4,4.0,1.65,,1,1,6.6,4.0,Low,Niche
20679,EDWARDIAN PARASOL RED,9097.52,33.45,272,1637,6.02,5.92,0.63,141,271,64.52,6.04,Premium,Best-Seller
20681,PINK POLKADOT CHILDRENS UMBRELLA,412.75,11.47,36,127,3.53,3.25,0.0,30,35,13.76,3.63,Medium,Occasional
20682,RED RETROSPOT CHILDRENS UMBRELLA,3694.66,19.55,189,1160,6.14,3.31,0.49,140,188,26.39,6.17,Premium,Best-Seller
20684,STRAWBERRY DREAM CHILDS UMBRELLA,253.5,7.68,33,78,2.36,3.25,0.0,30,32,8.45,2.44,Medium,Occasional
20685,DOORMAT RED RETROSPOT,25843.17,44.18,585,3965,6.78,7.75,0.76,328,582,78.79,6.81,Premium,Best-Seller
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,832.13,12.8,65,255,3.92,3.3,0.42,51,64,16.32,3.98,High,Popular
20694,FLORAL PINK MONSTER,135.0,12.27,11,36,3.27,3.75,0.0,9,10,15.0,3.6,Medium,Occasional
20695,FLORAL BLUE MONSTER,21.25,5.31,4,5,1.25,4.25,0.0,4,4,5.31,1.25,Low,Niche
20696,FLORAL SOFT CAR TOY,120.0,12.0,10,32,3.2,3.75,0.0,10,10,12.0,3.2,Medium,Niche
20697,LITTLE GREEN MONSTER SOFT TOY,48.45,4.4,11,19,1.73,2.55,0.0,8,9,6.06,2.11,Low,Occasional
20698,LITTLE PINK MONSTER SOFT TOY,40.8,5.1,8,16,2.0,2.55,0.0,7,7,5.83,2.29,Low,Niche
20699,MOUSEY LONG LEGS SOFT TOY,73.95,6.72,11,29,2.64,2.55,0.0,11,11,6.72,2.64,Low,Occasional
20700,GREEN CAT FLORAL CUSHION COVER ,37.5,9.38,4,10,2.5,3.75,0.0,4,4,9.38,2.5,Low,Niche
20701,PINK CAT FLORAL CUSHION COVER ,22.5,7.5,3,6,2.0,3.75,0.0,3,3,7.5,2.0,Low,Niche
20702,PINK PADDED MOBILE,544.0,13.27,41,128,3.12,4.25,0.0,31,40,17.55,3.2,Medium,Occasional
20703,BLUE PADDED SOFT MOBILE,34.0,8.5,4,8,2.0,4.25,0.0,3,4,11.33,2.0,Low,Niche
20704,MR ROBOT SOFT TOY,654.25,16.36,40,215,5.38,4.82,2.5,38,40,17.22,5.38,High,Occasional
20705,MRS ROBOT SOFT TOY,430.8,14.86,29,144,4.97,4.71,2.53,27,29,15.96,4.97,Medium,Occasional
20707,CRAZY DAISY HEART DECORATION,196.77,6.15,32,156,4.88,1.53,0.55,20,32,9.84,4.88,Medium,Occasional
20711,JUMBO BAG TOYS ,7729.59,30.43,254,4220,16.61,2.01,0.12,152,252,50.85,16.75,Premium,Best-Seller
20712,JUMBO BAG WOODLAND ANIMALS,15935.98,31.56,505,8426,16.69,2.03,0.19,247,500,64.52,16.85,Premium,Best-Seller
20713,JUMBO BAG OWLS,19508.35,45.69,427,10709,25.08,2.02,0.26,207,417,94.24,25.68,Premium,Best-Seller
20716,PARTY FOOD SHOPPER BAG,373.5,10.67,35,314,8.97,1.24,0.03,31,34,12.05,9.24,Medium,Occasional
20717,STRAWBERRY SHOPPER BAG,2468.38,10.42,237,2046,8.63,1.28,0.19,150,232,16.46,8.82,Premium,Best-Seller
20718,RED RETROSPOT SHOPPER BAG,5144.55,13.06,394,4288,10.88,1.26,0.16,237,388,21.71,11.05,Premium,Best-Seller
20719,WOODLAND CHARLOTTE BAG,7364.64,13.29,554,9349,16.88,0.84,0.08,238,539,30.94,17.35,Premium,Best-Seller
20723,STRAWBERRY CHARLOTTE BAG,5583.66,10.91,512,6922,13.52,0.86,0.12,232,504,24.07,13.73,Premium,Best-Seller
20724,RED RETROSPOT CHARLOTTE BAG,10296.16,13.42,767,13032,16.99,0.85,0.09,335,755,30.73,17.26,Premium,Best-Seller
20725,LUNCH BAG RED RETROSPOT,28866.85,21.26,1358,18249,13.44,1.66,0.22,532,1329,54.26,13.73,Premium,Best-Seller
20725,LUNCH BAG RED SPOTTY,290.0,290.0,1,200,200.0,1.45,,1,1,290.0,200.0,Medium,Niche
20726,LUNCH BAG WOODLAND,14672.01,17.04,861,9197,10.68,1.66,0.19,373,839,39.34,10.96,Premium,Best-Seller
20727,LUNCH BAG  BLACK SKULL.,18210.25,16.17,1126,11409,10.13,1.64,0.04,458,1073,39.76,10.63,Premium,Best-Seller
20728,LUNCH BAG CARS BLUE,17593.18,17.38,1012,11034,10.9,1.66,0.18,481,989,36.58,11.16,Premium,Best-Seller
20731,POSY CANDY BAG,92.5,11.56,8,74,9.25,1.25,0.0,8,8,11.56,9.25,Low,Niche
20733,GOLD MINI TAPE MEASURE ,904.9,18.1,50,1218,24.36,0.84,0.04,30,47,30.16,25.91,High,Popular
20735,BLACK MINI TAPE MEASURE ,121.3,4.04,30,158,5.27,0.85,0.02,11,30,11.03,5.27,Medium,Occasional
20748,KENSINGTON COFFEE SET,675.75,22.52,30,53,1.77,12.75,0.0,26,30,25.99,1.77,High,Occasional
20749,ASSORTED COLOUR MINI CASES,12187.01,32.59,374,1727,4.62,7.79,0.68,239,371,50.99,4.65,Premium,Best-Seller
20750,RED RETROSPOT MINI CASES,12264.5,33.06,371,1718,4.63,7.75,0.53,235,369,52.19,4.66,Premium,Best-Seller
20751,FUNKY WASHING UP GLOVES ASSORTED,1986.36,10.03,198,974,4.92,2.1,0.04,127,172,15.64,5.66,High,Best-Seller
20752,BLUE POLKADOT WASHING UP GLOVES,774.9,6.51,119,369,3.1,2.1,0.0,92,117,8.42,3.15,High,Popular
20754,RETROSPOT RED WASHING UP GLOVES,2672.58,10.95,244,1357,5.56,2.09,0.06,153,240,17.47,5.65,Premium,Best-Seller
20755,BLUE PAISLEY POCKET BOOK,248.2,4.87,51,292,5.73,0.85,0.0,44,50,5.64,5.84,Medium,Popular
20756,GREEN FERN POCKET BOOK,53.55,2.43,22,63,2.86,0.85,0.0,20,22,2.68,2.86,Low,Occasional
20757,RED DAISY POCKET BOOK ,140.18,4.25,33,164,4.97,0.87,0.14,30,30,4.67,5.47,Medium,Occasional
20758,ABSTRACT CIRCLES POCKET BOOK,136.85,3.11,44,161,3.66,0.85,0.0,35,41,3.91,3.93,Medium,Occasional
20759,CHRYSANTHEMUM POCKET BOOK ,54.4,2.72,20,64,3.2,0.85,0.0,17,20,3.2,3.2,Low,Occasional
20760,GARDEN PATH POCKET BOOK,58.65,2.67,22,69,3.14,0.85,0.0,18,21,3.26,3.29,Low,Occasional
20761,BLUE PAISLEY SKETCHBOOK,419.92,7.63,55,110,2.0,3.82,0.5,46,52,9.13,2.12,Medium,Popular
20762,GREEN FERN SKETCHBOOK ,382.46,7.5,51,101,1.98,3.82,0.52,42,51,9.11,1.98,Medium,Popular
20763,DAISY SKETCHBOOK ,189.96,7.6,25,71,2.84,3.7,1.04,24,25,7.92,2.84,Medium,Occasional
20764,ABSTRACT CIRCLES SKETCHBOOK ,491.13,7.92,62,128,2.06,3.93,0.8,45,60,10.91,2.13,Medium,Popular
20765,CHRYSANTHEMUM SKETCHBOOK ,374.84,7.07,53,96,1.81,3.96,0.87,45,51,8.33,1.88,Medium,Popular
20766,GARDEN PATH SKETCHBOOK,422.08,8.44,50,113,2.26,3.88,0.75,41,47,10.29,2.4,Medium,Popular
20767,BLUE PAISLEY JOURNAL ,541.97,8.88,61,217,3.56,2.62,0.44,50,58,10.84,3.74,Medium,Popular
20768,GREEN FERN JOURNAL ,320.26,8.66,37,131,3.54,2.6,0.41,31,36,10.33,3.64,Medium,Occasional
20769,DAISY JOURNAL ,173.12,6.66,26,66,2.54,2.64,0.47,21,26,8.24,2.54,Medium,Occasional
20770,ABSTRACT CIRCLE JOURNAL ,259.2,8.94,29,108,3.72,2.53,0.08,24,28,10.8,3.86,Medium,Occasional
