CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12410.0,300,3,705.5799999999999,1,3,3,7,At Risk
12412.0,74,3,1226.88,2,3,4,9,Potential
12413.0,66,5,822.0500000000001,3,4,3,10,Loyal
12414.0,216,3,562.41,1,3,3,7,At Risk
12415.0,23,26,126912.65,4,5,5,14,Champions
12417.0,2,12,3719.4,5,5,5,15,Champions
12418.0,112,1,668.58,2,1,3,6,At Risk
12420.0,63,1,600.39,3,1,3,7,At Risk
12421.0,15,5,807.8100000000001,4,4,3,11,Loyal
12422.0,95,3,803.5600000000001,2,3,3,8,Potential
12423.0,0,9,1869.51,5,5,4,14,Champions
12424.0,162,2,1760.96,2,2,4,8,Potential
12425.0,77,1,777.2,2,1,3,6,At Risk
12426.0,194,1,582.73,1,1,3,5,Lost
12427.0,11,5,943.23,4,4,3,11,Loyal
12428.0,25,12,8035.72,4,5,5,14,Champions
12429.0,8,4,3750.4,5,4,5,14,Champions
12430.0,42,1,256.4,3,1,2,6,At Risk
12431.0,35,18,6583.47,3,5,5,13,Champions
12432.0,42,5,5059.32,3,4,5,12,Champions
12433.0,0,7,13375.87,5,4,5,14,Champions
12434.0,84,4,847.09,2,4,3,9,Potential
12435.0,79,2,7829.89,2,2,5,9,Potential
12436.0,99,1,509.01,2,1,3,6,At Risk
12437.0,1,19,9167.220000000001,5,5,5,15,Champions
12438.0,13,2,2906.85,4,2,5,11,Loyal
12441.0,366,1,173.55,1,1,1,3,Lost
12442.0,2,1,172.06,5,1,1,7,At Risk
12444.0,20,5,5025.36,4,4,5,13,Champions
12445.0,21,1,133.4,4,1,1,6,At Risk
12446.0,57,1,1003.5600000000001,3,1,4,8,Potential
12447.0,242,1,476.49,1,1,2,4,Lost
12448.0,43,1,449.45,3,1,2,6,At Risk
12449.0,21,4,4067.29,4,4,5,13,Champions
12450.0,155,2,197.88,2,2,1,5,Lost
12451.0,10,6,9137.52,5,4,5,14,Champions
12452.0,16,3,432.57,4,3,2,9,Potential
12453.0,133,1,707.09,2,1,3,6,At Risk
12454.0,52,2,7056.679999999999,3,2,5,10,Loyal
12455.0,72,6,2466.86,2,4,5,11,Loyal
12456.0,43,4,3208.19,3,4,5,12,Champions
12457.0,57,12,2816.33,3,5,5,13,Champions
12458.0,70,2,947.4,3,2,3,8,Potential
12461.0,93,2,826.88,2,2,3,7,At Risk
12462.0,1,4,1255.17,5,4,4,13,Champions
12463.0,45,7,1385.93,3,4,4,11,Loyal
12464.0,9,8,1212.05,5,5,4,14,Champions
12465.0,7,3,750.49,5,3,3,11,Loyal
12468.0,142,3,735.0400000000001,2,3,3,8,Potential
12471.0,1,49,20907.18,5,5,5,15,Champions
12472.0,30,13,6914.74,4,5,5,14,Champions
12473.0,28,9,5028.87,4,5,5,14,Champions
12474.0,16,30,7635.11,4,5,5,14,Champions
12475.0,53,1,723.38,3,1,3,7,At Risk
12476.0,0,20,7086.26,5,5,5,15,Champions
12477.0,22,9,13322.47,4,5,5,14,Champions
12478.0,3,1,680.99,5,1,3,9,Potential
12479.0,3,3,577.1,5,3,3,11,Loyal
12480.0,27,4,3281.63,4,4,5,13,Champions
12481.0,22,11,5601.78,4,5,5,14,Champions
12483.0,16,13,2642.83,4,5,5,14,Champions
12484.0,32,8,4588.17,3,5,5,13,Champions
12488.0,9,3,1298.66,5,3,4,12,Champions
12489.0,335,1,334.93,1,1,2,4,Lost
12490.0,4,10,5417.93,5,5,5,15,Champions
12491.0,38,1,460.40000000000003,3,1,2,6,At Risk
12492.0,62,2,263.21000000000004,3,2,2,7,At Risk
12493.0,165,3,450.69,2,3,2,7,At Risk
12494.0,9,13,1352.8500000000001,5,5,4,14,Champions
12497.0,81,1,1043.1,2,1,4,7,At Risk
12498.0,20,3,403.70000000000005,4,3,2,9,Potential
12500.0,22,13,4309.37,4,5,5,14,Champions
12501.0,314,2,2249.1,1,2,5,8,Potential
12502.0,95,5,3723.87,2,4,5,11,Loyal
12503.0,337,1,1126.0,1,1,4,6,At Risk
12504.0,17,4,850.0999999999999,4,4,3,11,Loyal
12505.0,300,1,4.5,1,1,1,3,Lost
12506.0,232,1,73.5,1,1,1,3,Lost
12507.0,133,4,1398.31,2,4,4,10,Loyal
12508.0,25,2,398.27,4,2,2,8,Potential
12509.0,283,1,176.5,1,1,1,3,Lost
12510.0,142,2,982.5699999999999,2,2,4,8,Potential
12512.0,65,2,138.03,3,2,1,6,At Risk
12513.0,84,2,637.79,2,2,3,7,At Risk
12514.0,266,1,1017.68,1,1,4,6,At Risk
12515.0,352,1,383.7,1,1,2,4,Lost
12516.0,77,2,1312.06,2,2,4,8,Potential
12517.0,27,6,2540.79,4,4,5,13,Champions
12518.0,0,5,2056.89,5,4,4,13,Champions
12519.0,63,1,340.84,3,1,2,6,At Risk
12520.0,78,6,2686.01,2,4,5,11,Loyal
12521.0,142,1,599.68,2,1,3,6,At Risk
12522.0,38,2,192.72,3,2,1,6,At Risk
12523.0,1,13,1833.97,5,5,4,14,Champions
12524.0,8,8,4485.72,5,5,5,15,Champions
12526.0,0,3,1316.66,5,3,4,12,Champions
12527.0,81,3,348.71000000000004,2,3,2,7,At Risk
12528.0,8,8,1944.68,5,5,4,14,Champions
12530.0,59,5,1700.93,3,4,4,11,Loyal
12531.0,14,1,125.22,4,1,1,6,At Risk
12532.0,29,1,349.83000000000004,4,1,2,7,At Risk
12534.0,130,1,1089.18,2,1,4,7,At Risk
12535.0,91,2,716.35,2,2,3,7,At Risk
12536.0,7,5,21096.84,5,4,5,14,Champions
12538.0,28,1,363.95,4,1,2,7,At Risk
12539.0,21,5,7284.2,4,4,5,13,Champions
12540.0,19,19,13491.44,4,5,5,14,Champions
12541.0,29,3,981.18,4,3,4,11,Loyal
12544.0,29,2,389.7,4,2,2,8,Potential
12545.0,74,2,1000.39,2,2,4,8,Potential
12546.0,46,3,1181.5,3,3,4,10,Loyal
12547.0,197,2,207.79999999999998,1,2,1,4,Lost
12548.0,165,1,95.19999999999999,2,1,1,4,Lost
12550.0,78,1,964.83,2,1,4,7,At Risk
12551.0,357,1,168.0,1,1,1,3,Lost
12552.0,38,2,437.82,3,2,2,7,At Risk
12553.0,7,14,3732.31,5,5,5,15,Champions
12556.0,49,2,603.71,3,2,3,8,Potential
12557.0,15,5,11990.960000000001,4,4,5,13,Champions
12558.0,1,2,539.92,5,2,3,10,Loyal
12559.0,310,3,587.21,1,3,3,7,At Risk
12560.0,4,4,2166.63,5,4,5,14,Champions
12561.0,302,1,238.85,1,1,1,3,Lost
12562.0,7,7,3781.7400000000002,5,4,5,14,Champions
12564.0,260,1,456.9,1,1,2,4,Lost
12565.0,281,2,160.67,1,2,1,4,Lost
12566.0,72,2,356.6,2,2,2,6,At Risk
12567.0,22,11,9687.62,4,5,5,14,Champions
12569.0,1,35,4184.39,5,5,5,15,Champions
12571.0,39,2,519.61,3,2,3,8,Potential
12572.0,8,3,1036.1200000000001,5,3,4,12,Champions
12573.0,226,1,160.54000000000002,1,1,1,3,Lost
12574.0,315,1,218.45,1,1,1,3,Lost
12576.0,35,6,1324.68,3,4,4,11,Loyal
12577.0,34,4,720.2,3,4,3,10,Loyal
12578.0,20,4,2835.66,4,4,5,13,Champions
12579.0,72,3,470.12,2,3,2,7,At Risk
12580.0,246,1,415.7,1,1,2,4,Lost
12581.0,39,1,197.71,3,1,1,5,Lost
12582.0,238,2,511.36,1,2,3,6,At Risk
12583.0,2,18,7375.42,5,5,5,15,Champions
12584.0,3,18,2782.35,5,5,5,15,Champions
12585.0,233,4,2097.39,1,4,4,9,Potential
12586.0,16,2,213.94000000000003,4,2,1,7,At Risk
12587.0,7,1,144.0,5,1,1,7,At Risk
12588.0,38,1,214.89999999999998,3,1,1,5,Lost
12589.0,28,2,646.68,4,2,3,9,Potential
12590.0,189,3,9867.14,1,3,5,9,Potential
12591.0,316,1,452.84999999999997,1,1,2,4,Lost
12592.0,91,2,437.6,2,2,2,6,At Risk
12593.0,108,3,418.09999999999997,2,3,2,7,At Risk
12594.0,37,11,3356.2200000000003,3,5,5,13,Champions
12596.0,50,2,618.27,3,2,3,8,Potential
12597.0,18,5,3939.31,4,4,5,13,Champions
12598.0,9,9,3043.48,5,5,5,15,Champions
12599.0,28,7,1032.58,4,4,4,12,Champions
12600.0,28,11,2617.04,4,5,5,14,Champions
12601.0,189,6,584.5600000000001,1,4,3,8,Potential
12602.0,58,1,153.12,3,1,1,5,Lost
12603.0,21,1,779.66,4,1,3,8,Potential
12604.0,78,2,254.18,2,2,2,6,At Risk
12605.0,364,1,7.5,1,1,1,3,Lost
12607.0,57,2,3159.02,3,2,5,10,Loyal
12609.0,77,3,1126.85,2,3,4,9,Potential
12610.0,22,7,2141.09,4,4,5,13,Champions
12611.0,51,1,1193.32,3,1,4,8,Potential
12612.0,57,2,764.49,3,2,3,8,Potential
12613.0,30,6,3469.78,4,4,5,13,Champions
12614.0,277,1,315.6,1,1,2,4,Lost
12615.0,1,4,2291.19,5,4,5,14,Champions
12616.0,84,5,769.35,2,4,3,9,Potential
12617.0,28,1,355.53,4,1,2,7,At Risk
12618.0,21,1,177.31,4,1,1,6,At Risk
12619.0,15,13,4067.67,4,5,5,14,Champions
12620.0,14,3,1339.41,4,3,4,11,Loyal
12621.0,1,23,13767.27,5,5,5,15,Champions
12622.0,231,1,180.1,1,1,1,3,Lost
12623.0,275,1,305.1,1,1,2,4,Lost
12624.0,105,2,641.13,2,2,3,7,At Risk
12625.0,211,3,2753.32,1,3,5,9,Potential
12626.0,22,13,6852.61,4,5,5,14,Champions
12627.0,10,7,4478.53,5,4,5,14,Champions
12628.0,3,4,803.3100000000001,5,4,3,12,Champions
12630.0,9,2,1270.88,5,2,4,11,Loyal
12631.0,56,1,640.5,3,1,3,7,At Risk
12633.0,58,5,2187.33,3,4,5,12,Champions
12635.0,89,2,1689.18,2,2,4,8,Potential
12637.0,66,10,6090.55,3,5,5,13,Champions
12638.0,32,1,671.69,3,1,3,7,At Risk
12639.0,238,1,486.1,1,1,2,4,Lost
12640.0,23,3,1174.58,4,3,4,11,Loyal
12641.0,114,1,185.9,2,1,1,4,Lost
12642.0,24,3,1013.26,4,3,4,11,Loyal
12643.0,127,6,3344.64,2,4,5,11,Loyal
12644.0,129,1,477.91,2,1,2,5,Lost
12645.0,33,5,1794.98,3,4,4,11,Loyal
12646.0,4,2,1346.97,5,2,4,11,Loyal
12647.0,21,13,3783.67,4,5,5,14,Champions
12648.0,154,1,318.05,2,1,2,5,Lost
12649.0,106,4,643.31,2,4,3,9,Potential
12650.0,2,1,314.44,5,1,2,8,Potential
12651.0,334,1,114.0,1,1,1,3,Lost
12652.0,321,2,925.4300000000001,1,2,3,6,At Risk
12653.0,148,2,2209.85,2,2,5,9,Potential
12654.0,10,5,601.98,5,4,3,12,Champions
12656.0,16,8,4119.62,4,5,5,14,Champions
12657.0,10,5,2134.3,5,4,5,14,Champions
12658.0,18,1,686.05,4,1,3,8,Potential
12659.0,29,1,91.68,4,1,1,6,At Risk
12660.0,10,1,245.1,5,1,1,7,At Risk
12662.0,0,12,3882.48,5,5,5,15,Champions
12664.0,7,10,4899.88,5,5,5,15,Champions
12665.0,324,2,64.25,1,2,1,4,Lost
12666.0,358,1,227.44,1,1,1,3,Lost
12667.0,57,1,620.13,3,1,3,7,At Risk
12668.0,6,6,3871.12,5,4,5,14,Champions
12669.0,150,4,3880.33,2,4,5,11,Loyal
12670.0,9,6,3005.95,5,4,5,14,Champions
12672.0,329,1,225.89999999999998,1,1,1,3,Lost
12673.0,4,2,610.52,5,2,3,10,Loyal
12674.0,11,7,2021.89,4,4,4,12,Champions
12676.0,24,6,1331.39,4,4,4,12,Champions
12678.0,41,13,17668.66,3,5,5,13,Champions
12679.0,51,9,1167.3700000000001,3,5,4,12,Champions
12680.0,0,4,862.81,5,4,3,12,Champions
12681.0,14,27,13897.49,4,5,5,14,Champions
12682.0,3,31,12288.22,5,5,5,15,Champions
12683.0,3,20,8732.05,5,5,5,15,Champions
12684.0,7,7,2283.63,5,4,5,14,Champions
12685.0,27,6,2863.08,4,4,5,13,Champions
12686.0,371,1,89.14,1,1,1,3,Lost
12688.0,113,1,4873.8099999999995,2,1,5,8,Potential
12689.0,25,2,1247.61,4,2,4,10,Loyal
12690.0,205,1,389.01,1,1,2,4,Lost
12691.0,27,6,1035.8,4,4,4,12,Champions
12693.0,120,6,880.86,2,4,3,9,Potential
12694.0,69,2,869.67,3,2,3,8,Potential
12695.0,6,4,582.1,5,4,3,12,Champions
12697.0,20,5,976.16,4,4,4,12,Champions
12700.0,7,6,5011.99,5,4,5,14,Champions
12701.0,79,2,797.71,2,2,3,7,At Risk
12702.0,19,1,219.0,4,1,1,6,At Risk
12703.0,63,2,292.4,3,2,2,7,At Risk
12704.0,6,10,2460.84,5,5,5,15,Champions
12705.0,14,14,6922.34,4,5,5,14,Champions
12707.0,291,1,603.42,1,1,3,5,Lost
12708.0,29,16,2809.5,4,5,5,14,Champions
12709.0,2,26,10178.94,5,5,5,15,Champions
12710.0,96,4,1167.47,2,4,4,10,Loyal
12712.0,22,17,4550.63,4,5,5,14,Champions
12713.0,0,1,848.55,5,1,3,9,Potential
12714.0,8,5,4708.86,5,4,5,14,Champions
12715.0,105,1,353.86,2,1,2,5,Lost
12716.0,3,2,1053.49,5,2,4,11,Loyal
12717.0,150,3,1080.98,2,3,4,9,Potential
12718.0,70,1,238.25,3,1,1,5,Lost
12719.0,4,3,681.8000000000001,5,3,3,11,Loyal
12720.0,2,29,5850.18,5,5,5,15,Champions
12721.0,31,7,2683.28,4,4,5,13,Champions
12722.0,84,6,1090.93,2,4,4,10,Loyal
12723.0,3,5,725.07,5,4,3,12,Champions
12724.0,4,4,1031.41,5,4,4,13,Champions
12725.0,370,1,427.8,1,1,2,4,Lost
12726.0,27,7,2609.1,4,4,5,13,Champions
12727.0,10,9,4013.7,5,5,5,15,Champions
12728.0,70,4,836.33,3,4,3,10,Loyal
12729.0,113,1,453.01,2,1,2,5,Lost
12731.0,23,14,18998.41,4,5,5,14,Champions
12732.0,179,1,236.26000000000002,1,1,1,3,Lost
12733.0,233,1,383.95,1,1,2,4,Lost
12734.0,352,1,110.39999999999999,1,1,1,3,Lost
12735.0,314,2,779.5699999999999,1,2,3,6,At Risk
12736.0,332,1,234.0,1,1,1,3,Lost
12738.0,371,1,155.35,1,1,1,3,Lost
12739.0,77,2,1013.04,2,2,4,8,Potential
12740.0,63,1,427.6,3,1,2,6,At Risk
12744.0,51,10,33438.19,3,5,5,13,Champions
12747.0,1,11,4196.01,5,5,5,15,Champions
12748.0,0,224,38368.61,5,5,5,15,Champions
12749.0,3,8,4313.56,5,5,5,15,Champions
12750.0,128,1,275.88,2,1,2,5,Lost
12752.0,80,1,4366.78,2,1,5,8,Potential
12753.0,3,11,21834.77,5,5,5,15,Champions
12754.0,235,5,3072.3599999999997,1,4,5,10,Loyal
12755.0,249,4,5420.699999999999,1,4,5,10,Loyal
12756.0,86,1,112.07999999999998,2,1,1,4,Lost
12757.0,15,19,11486.5,4,5,5,14,Champions
12758.0,116,2,2791.59,2,2,5,9,Potential
12759.0,51,3,1531.44,3,3,4,10,Loyal
12762.0,7,2,1898.52,5,2,4,11,Loyal
12763.0,137,2,494.08,2,2,2,6,At Risk
12764.0,316,1,1693.88,1,1,4,6,At Risk
12766.0,3,7,6989.63,5,4,5,14,Champions
12769.0,238,1,1143.6,1,1,4,6,At Risk
12770.0,210,1,1351.45,1,1,4,6,At Risk
12772.0,59,1,892.47,3,1,3,7,At Risk
12775.0,16,6,1420.84,4,4,4,12,Champions
12778.0,19,7,840.23,4,4,3,11,Loyal
12779.0,20,12,4094.02,4,5,5,14,Champions
12781.0,20,5,945.76,4,4,3,11,Loyal
12782.0,4,6,2388.52,5,4,5,14,Champions
12783.0,1,8,2847.95,5,5,5,15,Champions
12784.0,8,2,574.42,5,2,3,10,Loyal
12785.0,2,2,318.19,5,2,2,9,Potential
12787.0,9,3,463.66,5,3,2,10,Loyal
12789.0,64,1,91.85,3,1,1,5,Lost
12790.0,191,1,324.92,1,1,2,4,Lost
12791.0,373,1,192.60000000000002,1,1,1,3,Lost
12792.0,256,1,400.53999999999996,1,1,2,4,Lost
12793.0,334,2,545.48,1,2,3,6,At Risk
12794.0,52,2,860.41,3,2,3,8,Potential
12795.0,18,1,430.48,4,1,2,7,At Risk
12797.0,359,3,313.88,1,3,2,6,At Risk
12798.0,9,3,6977.04,5,3,5,13,Champions
12802.0,183,2,442.58,1,2,2,5,Lost
12808.0,36,3,483.65000000000003,3,3,2,8,Potential
12809.0,167,2,494.26,2,2,2,6,At Risk
12811.0,260,3,514.85,1,3,3,7,At Risk
12812.0,44,1,229.64000000000001,3,1,1,5,Lost
12814.0,101,1,125.92,2,1,1,4,Lost
12815.0,147,2,1063.46,2,2,4,8,Potential
12816.0,95,2,572.2,2,2,3,7,At Risk
12817.0,280,1,166.04,1,1,1,3,Lost
12818.0,177,2,1566.28,2,2,4,8,Potential
12820.0,2,4,942.34,5,4,3,12,Champions
12821.0,213,1,92.72,1,1,1,3,Lost
12822.0,70,3,978.7800000000001,3,3,4,10,Loyal
12823.0,74,5,1759.5,2,4,4,10,Loyal
12824.0,59,1,397.12,3,1,2,6,At Risk
12826.0,2,8,1481.32,5,5,4,14,Champions
12827.0,5,3,430.15000000000003,5,3,2,10,Loyal
12828.0,2,6,1018.71,5,4,4,13,Champions
12829.0,321,3,332.95,1,3,2,6,At Risk
12830.0,37,7,6880.88,3,4,5,12,Champions
12831.0,261,1,215.05,1,1,1,3,Lost
12832.0,31,2,383.03,4,2,2,8,Potential
12833.0,144,1,417.38,2,1,2,5,Lost
12834.0,282,1,312.38,1,1,2,4,Lost
12836.0,58,4,2612.86,3,4,5,12,Champions
12837.0,172,1,134.1,2,1,1,4,Lost
12838.0,33,2,683.13,3,2,3,8,Potential
12839.0,2,16,5599.22,5,5,5,15,Champions
12840.0,143,6,2739.27,2,4,5,11,Loyal
12841.0,4,26,4168.3,5,5,5,15,Champions
12842.0,69,2,1118.99,3,2,4,9,Potential
12843.0,65,9,1723.76,3,5,4,12,Champions
12844.0,28,2,325.96000000000004,4,2,2,8,Potential
12845.0,266,4,354.09,1,4,2,7,At Risk
12847.0,21,1,871.54,4,1,3,8,Potential
12849.0,30,2,1050.8899999999999,4,2,4,10,Loyal
12851.0,96,1,135.18,2,1,1,4,Lost
12852.0,289,2,323.35,1,2,2,5,Lost
12853.0,107,9,2032.5,2,5,4,11,Loyal
12854.0,78,5,1359.85,2,4,4,10,Loyal
12855.0,372,1,38.1,1,1,1,3,Lost
12856.0,7,8,2197.18,5,5,5,15,Champions
12857.0,210,2,1106.4,1,2,4,7,At Risk
12863.0,51,2,538.2,3,2,3,8,Potential
12864.0,137,1,147.12,2,1,1,4,Lost
12865.0,25,3,1588.39,4,3,4,11,Loyal
12866.0,282,1,559.12,1,1,3,5,Lost
12867.0,25,10,4087.42,4,5,5,14,Champions
12868.0,185,6,1607.0600000000002,1,4,4,9,Potential
12870.0,365,1,14.899999999999999,1,1,1,3,Lost
12871.0,83,2,380.64,2,2,2,6,At Risk
12872.0,326,2,599.97,1,2,3,6,At Risk
12873.0,281,1,374.0,1,1,2,4,Lost
12875.0,142,2,343.2300000000001,2,2,2,6,At Risk
12876.0,57,2,2218.02,3,2,5,10,Loyal
12877.0,3,12,1535.77,5,5,4,14,Champions
12878.0,17,3,868.34,4,3,3,10,Loyal
12879.0,44,4,593.87,3,4,3,10,Loyal
12881.0,275,1,298.0,1,1,2,4,Lost
12882.0,8,2,1463.04,5,2,4,11,Loyal
12883.0,24,4,703.47,4,4,3,11,Loyal
12884.0,87,1,309.05,2,1,2,5,Lost
12885.0,62,4,1192.17,3,4,4,11,Loyal
12886.0,67,3,1405.71,3,3,4,10,Loyal
12888.0,213,4,394.47,1,4,2,7,At Risk
12890.0,23,1,380.46999999999997,4,1,2,7,At Risk
12891.0,185,3,331.0,1,3,2,6,At Risk
12893.0,30,1,188.14,4,1,1,6,At Risk
12895.0,41,3,398.3,3,3,2,8,Potential
12897.0,204,2,216.5,1,2,1,4,Lost
12901.0,8,36,19015.98,5,5,5,15,Champions
12902.0,264,1,138.68,1,1,1,3,Lost
12904.0,17,2,509.58,4,2,3,9,Potential
12906.0,11,5,2919.81,4,4,5,13,Champions
12908.0,58,4,1254.0,3,4,4,11,Loyal
12909.0,39,8,2228.51,3,5,5,13,Champions
12910.0,22,8,3075.04,4,5,5,14,Champions
12912.0,2,5,1662.3,5,4,4,13,Champions
12913.0,4,5,2483.63,5,4,5,14,Champions
12915.0,148,2,363.65,2,2,2,6,At Risk
12916.0,138,5,3029.95,2,4,5,11,Loyal
12917.0,127,1,594.0,2,1,3,6,At Risk
12919.0,7,8,1368.94,5,5,4,14,Champions
12920.0,16,1,164.23,4,1,1,6,At Risk
12921.0,3,50,16784.44,5,5,5,15,Champions
12922.0,160,1,405.38,2,1,2,5,Lost
12923.0,63,1,176.97,3,1,1,5,Lost
12924.0,87,5,937.45,2,4,3,9,Potential
12925.0,4,2,694.05,5,2,3,10,Loyal
12928.0,34,5,2062.7000000000003,3,4,4,11,Loyal
12929.0,121,2,130.6,2,2,1,5,Lost
12930.0,77,4,421.7,2,4,2,8,Potential
12931.0,21,20,50649.11,4,5,5,14,Champions
12933.0,23,4,608.78,4,4,3,11,Loyal
12935.0,1,8,2164.95,5,5,5,15,Champions
12936.0,16,5,1114.9,4,4,4,12,Champions
12937.0,14,4,1504.27,4,4,4,12,Champions
12938.0,25,1,114.14,4,1,1,6,At Risk
12939.0,63,8,11581.8,3,5,5,13,Champions
12940.0,45,4,950.79,3,4,3,10,Loyal
12942.0,130,3,683.9,2,3,3,8,Potential
12943.0,300,1,3.75,1,1,1,3,Lost
12944.0,35,2,604.51,3,2,3,8,Potential
12945.0,287,1,462.95,1,1,2,4,Lost
12947.0,143,11,1800.69,2,5,4,11,Loyal
12948.0,15,8,2076.2,4,5,4,13,Champions
12949.0,30,10,4191.42,4,5,5,14,Champions
12950.0,1,3,1843.0,5,3,4,12,Champions
12951.0,8,8,1086.07,5,5,4,14,Champions
12952.0,5,5,1392.74,5,4,4,13,Champions
12953.0,9,1,329.85,5,1,2,8,Potential
12955.0,0,14,4780.0599999999995,5,5,5,15,Champions
12956.0,305,1,108.07,1,1,1,3,Lost
12957.0,3,12,4056.04,5,5,5,15,Champions
12962.0,6,2,266.39,5,2,2,9,Potential
12963.0,7,9,1872.23,5,5,4,14,Champions
12965.0,88,1,771.91,2,1,3,6,At Risk
12966.0,9,1,160.18,5,1,1,7,At Risk
12967.0,2,4,2127.05,5,4,5,14,Champions
12968.0,111,1,135.95,2,1,1,4,Lost
12970.0,6,4,452.24,5,4,2,11,Loyal
12971.0,3,89,11449.56,5,5,5,15,Champions
12974.0,197,1,144.8,1,1,1,3,Lost
12976.0,211,1,738.6,1,1,3,5,Lost
12977.0,155,1,39.239999999999995,2,1,1,4,Lost
12980.0,155,12,7657.740000000001,2,5,5,12,Champions
12981.0,29,2,372.21999999999997,4,2,2,8,Potential
12982.0,239,2,403.88,1,2,2,5,Lost
12984.0,18,1,97.5,4,1,1,6,At Risk
12985.0,0,3,1263.14,5,3,4,12,Champions
12987.0,73,3,572.4,2,3,3,8,Potential
12988.0,291,1,535.32,1,1,3,5,Lost
12989.0,2,19,6993.71,5,5,5,15,Champions
12990.0,30,3,409.5,4,3,2,9,Potential
12991.0,22,2,503.76,4,2,3,9,Potential
12993.0,22,4,414.76,4,4,2,10,Loyal
12994.0,3,5,1046.6200000000001,5,4,4,13,Champions
12995.0,77,2,221.92,2,2,1,5,Lost
12997.0,21,7,1255.84,4,4,4,12,Champions
12999.0,195,3,455.88,1,3,2,6,At Risk
13000.0,106,3,534.85,2,3,3,8,Potential
13001.0,3,15,9839.720000000001,5,5,5,15,Champions
13002.0,317,1,120.94999999999999,1,1,1,3,Lost
13003.0,105,3,149.05,2,3,1,6,At Risk
13004.0,11,22,5698.39,4,5,5,14,Champions
13005.0,173,3,558.45,2,3,3,8,Potential
13006.0,55,1,81.57,3,1,1,5,Lost
13008.0,322,2,280.46999999999997,1,2,2,5,Lost
13011.0,371,1,50.550000000000004,1,1,1,3,Lost
13012.0,8,11,2012.06,5,5,4,14,Champions
13013.0,0,15,4834.89,5,5,5,15,Champions
13014.0,2,16,3584.13,5,5,5,15,Champions
13015.0,52,5,3346.28,3,4,5,12,Champions
13016.0,72,3,789.89,2,3,3,8,Potential
13017.0,6,1,204.0,5,1,1,7,At Risk
13018.0,15,29,7282.65,4,5,5,14,Champions
13021.0,3,12,2648.36,5,5,5,15,Champions
13023.0,63,2,689.9,3,2,3,8,Potential
13026.0,0,8,1014.5699999999999,5,5,4,14,Champions
13027.0,113,6,6912.0,2,4,5,11,Loyal
13028.0,22,3,662.96,4,3,3,10,Loyal
13029.0,30,3,1247.5,4,3,4,11,Loyal
13030.0,10,2,799.48,5,2,3,10,Loyal
